# The Department of Energy (DOE) test procedure has been changed significantly. As a result, Energy Factor (EF) ratings are being replaced with Uniform Energy Factor (UEF) ratings. Currently this directory lists only models that were available before July 13, 2015, and their EF ratings.
# Models that have been introduced to the market on or after July 13, 2015 are required to use the revised test procedure and have a UEF rating. Those new models are viewable on a separate page here .
# Process an AHRI Residential Water Heater directory file
# https://www.ahridirectory.org/ahridirectory/pages/rwh/RWHDirectory.pdf
# downloaded 2017-05-11 08:47:38
AHRI Reference Number,Model Status,Trade/Brand Name,Manufacturer,Model Number,Energy Source,Heater Type,Usage Bin,First Hour Rating,MaxGPM,Uniform Energy  Factor,Nominal  Capacity (gal),Rated Storage Volume,Input (MBtuh/kW),Recovery Efficiency (%),Sold In
9141037,Active,HTP,"HTP, INC.",RTP-199,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.9,0.94,1,1,199,96,USA; Canada
8561760,Active,HTP,"HTP, INC.",RTC-199,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.8,0.93,0,2,199,96,USA; Canada
8579054,Active,HTP,"HTP, INC.",RTCO-199,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.8,0.93,0,2,199,96,USA; Canada
8561845,Active,WESTINGHOUSE,"HTP, INC.",WGRTCNG199,Natural Gas,Instantaneous,High Usage,,5.8,0.93,0,2,199,96,USA; Canada
8581431,Active,WESTINGHOUSE,"HTP, INC.",WGRTCONG199,Natural Gas,Instantaneous,High Usage,,5.8,0.93,0,2,199,96,USA; Canada
8561846,Active,WESTINGHOUSE,"HTP, INC.",WGRTCLP199,Propane Gas,Instantaneous,High Usage,,5.8,0.93,0,2,199,96,USA; Canada
8581432,Active,WESTINGHOUSE,"HTP, INC.",WGRTCOLP199,Propane Gas,Instantaneous,High Usage,,5.8,0.93,0,2,199,96,USA; Canada
10239153,Active,NORITZ,NORITZ AMERICA CORPORATION,GQ-C3259WX-FF US,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.8,0.96,0,1,199.9,99,USA; Canada
8868718,Active,NORITZ,NORITZ AMERICA CORPORATION,GQ-C3257WX-FF US,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.7,0.9,0,1,199.9,94,USA
8868719,Active,NORITZ,NORITZ AMERICA CORPORATION,GQ-C3257WX US,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.7,0.91,0,1,199.9,96,USA
9963064,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T9800 SE 199,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.4,0.96,0,1,199,100,USA; Canada
9963071,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T9800 SEC 199,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.4,0.96,0,1,199,100,USA; Canada
9963072,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T9800 SECO 199,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.4,0.96,0,1,199,100,USA; Canada
9963069,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T9800 SEO 199,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.4,0.96,0,1,199,100,USA; Canada
9963070,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T9900 SE 199,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.4,0.96,0,1,199,100,USA; Canada
9963073,Active,BOSCH,BOSCH THERMOTECHNOLOGY CORP,T9900I SE 199,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.4,0.96,0,1,199,100,USA; Canada
10239154,Active,NORITZ,NORITZ AMERICA CORPORATION,GQ-C2859WX-FF US,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.3,0.96,0,1,180,99,USA; Canada
8868712,Active,NORITZ,NORITZ AMERICA CORPORATION,GQ-2857WX US,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.2,0.81,0,1,199.9,85,USA
8868715,Active,NORITZ,NORITZ AMERICA CORPORATION,GQ-2857WX-F US,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.2,0.8,0,1,199.9,84,USA
8868717,Active,NORITZ,NORITZ AMERICA CORPORATION,GQ-C2857WS US,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.2,0.92,0,1,180,96,USA
10021153,Active,HTP,"HTP, INC.",RTP-180,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.2,0.94,0,1,180,96,USA; Canada
8868711,Active,NORITZ,NORITZ AMERICA CORPORATION,GQ-2857WX-FFA US,Both Natural Gas and Propane Gas,Instantaneous,High Usage,,5.1,0.8,0,1,199.9,85,USA
